Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
CH3COOH, vt=0 (13 2 11 0 0 _ 14 0 14 0 0) 	60523	84141.181	61.576	2.77E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 3 11 0 0 _ 14 1 14 0 0) 	60523	84141.182	61.576	2.77E-10	0.000E0	0	0.00E0	
C2H5CN (11 0 11 _ 10 1 10) 	55001	84151.838	28.102	3.11E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 4 5 0 0 _ 7 5 3 0 0) 	60523	84153.549	30.056	6.37E-9	0.000E0	0	0.00E0	
CH3COCH3 (15 15 1 0 _ 15 14 2 1) 	58003	84170.406	115.041	3.37E-6	0.000E0	0	0.00E0	
C5N (30 30.5 30.5 _ 29 29.5 30.5) 	74501	84171.559	62.614	4.19E-8	0.000E0	0	0.00E0	
C5N (30 30.5 29.5 _ 29 29.5 28.5) 	74501	84174.567	62.614	3.91E-5	0.000E0	0	0.00E0	
C5N (30 30.5 30.5 _ 29 29.5 29.5) 	74501	84174.569	62.614	3.91E-5	0.000E0	0	0.00E0	
C5N (30 30.5 31.5 _ 29 29.5 30.5) 	74501	84174.569	62.614	3.91E-5	0.000E0	0	0.00E0	
C5N (30 30.5 29.5 _ 29 29.5 29.5) 	74501	84174.859	62.614	4.33E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 6 7 0 0 _ 11 8 4 0 0) 	60523	84175.969	65.709	5.36E-9	0.000E0	0	0.00E0	
C2H5CN (9 3 6 _ 10 1 9) 	55001	84177.516	29.361	7.07E-9	0.000E0	0	0.00E0	
C5N (30 29.5 29.5 _ 29 28.5 29.5) 	74501	84185.137	62.63	4.51E-8	0.000E0	0	0.00E0	
C5N (30 29.5 28.5 _ 29 28.5 27.5) 	74501	84185.311	62.63	3.91E-5	0.000E0	0	0.00E0	
C5N (30 29.5 29.5 _ 29 28.5 28.5) 	74501	84185.311	62.63	3.91E-5	0.000E0	0	0.00E0	
C5N (30 29.5 30.5 _ 29 28.5 29.5) 	74501	84185.314	62.63	3.91E-5	0.000E0	0	0.00E0	
C5N (30 29.5 28.5 _ 29 28.5 28.5) 	74501	84188.341	62.63	4.66E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 1 5 2 _ 4 1 4 2) 	46524	84212.132	13.391	6.47E-9	0.000E0	0	0.00E0	
CH3NH2 (4 0 0 _ 3 -1 1) 	31008	84215.034	21.274	1.76E-6	0.000E0	0	0.00E0	
CH3CHO (2 1 2 0 _ 1 0 1 0) 	44003	84219.749	4.965	2.29E-6	0.000E0	0	0.00E0	
CH3OCHO (11 4 7 2 _ 11 3 8 2) 	60003	84224.664	49.81	9.18E-7	0.000E0	0	0.00E0	
CH3COCH3 (12 6 6 1 _ 11 9 3 2) 	58003	84227.123	61.537	5.51E-8	0.000E0	0	0.00E0	
CH3OCHO (11 4 7 0 _ 11 3 8 0) 	60003	84233.335	49.797	9.20E-7	0.000E0	0	0.00E0	
CH3COCH3 (15 15 0 0 _ 15 14 1 1) 	58003	84245.444	115.162	3.38E-6	0.000E0	0	0.00E0	
CH3NH2 (1 1 5 _ 1 0 5) 	31008	84305.236	6.606	2.28E-6	0.000E0	0	0.00E0	
C2H3CHO (5 1 5 0 _ 4 0 4 0) 	56008	84311.632	8.316	7.66E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (6 0 6 0 _ 5 1 5 0) 	46524	84342.354	74.198	3.47E-8	0.000E0	0	0.00E0	
CH3COCH3 (8 5 4 1 _ 7 6 2 2) 	58003	84346.074	28.753	3.60E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (9 7 2 1 0 _ 9 6 4 1 0) 	60524	84392.637	149.979	1.34E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 14 3 0 0 _ 16 13 4 0 0) 	60523	84394.040	135.989	2.42E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 1 8 0 0 _ 9 1 9 0 0) 	60523	84396.109	29.719	1.96E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 1 8 0 0 _ 9 0 9 0 0) 	60523	84396.109	29.719	9.35E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 2 8 0 0 _ 9 1 9 0 0) 	60523	84396.140	29.719	9.35E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 2 8 0 0 _ 9 0 9 0 0) 	60523	84396.141	29.719	1.96E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 3 8 0 1 _ 11 3 9 0 2) 	60523	84405.590	50.053	4.60E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 3 8 0 1 _ 11 2 9 0 2) 	60523	84405.665	50.053	2.17E-6	0.000E0	0	0.00E0	
C3H7CN (19 2 17 0 _ 18 2 16 0) 	69002	84408.080	44.539	4.36E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 4 8 0 1 _ 11 3 9 0 2) 	60523	84408.749	50.053	2.17E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 4 8 0 1 _ 11 2 9 0 2) 	60523	84408.824	50.053	4.60E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 7 3 0 0 _ 9 4 5 0 0) 	60523	84425.176	42.884	7.48E-8	0.000E0	0	0.00E0	
C3H7CN (4 4 1 1 _ 4 2 2 1) 	69002	84434.142	140.279	4.62E-9	0.000E0	0	0.00E0	
CH3SH,v=0-2 (2 1 1 1 _ 1 1 1 2) 	48510	84438.800	9.828	8.74E-10	0.000E0	0	0.00E0	
CH3OCHO (7 2 6 1 _ 6 2 5 1) 	60003	84449.169	18.999	7.96E-6	0.000E0	0	0.00E0	
CH3NH2 (6 3 5 _ 7 2 5) 	31008	84454.556	79.666	6.08E-7	0.000E0	0	0.00E0	
CH3OCHO (7 2 6 0 _ 6 2 5 0) 	60003	84454.754	18.981	7.96E-6	0.000E0	0	0.00E0	
C2H3CN (4 2 3 0 4 _ 5 1 4 0 4) 	53001	84455.701	13.21	1.53E-8	0.000E0	0	0.00E0	
C2H3CN (4 2 3 0 3 _ 5 1 4 0 4) 	53001	84456.346	13.21	3.83E-7	0.000E0	0	0.00E0	
C2H3CN (4 2 3 0 5 _ 5 1 4 0 6) 	53001	84456.440	13.21	3.70E-7	0.000E0	0	0.00E0	
C2H3CN (4 2 3 0 4 _ 5 1 4 0 5) 	53001	84457.032	13.21	3.67E-7	0.000E0	0	0.00E0	
C2H3CN (4 2 3 0 5 _ 5 1 4 0 5) 	53001	84457.555	13.21	1.25E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (7 4 4 1 0 _ 6 5 2 1 0) 	60524	84464.371	129.112	4.27E-8	0.000E0	0	0.00E0	
CH3COCH3 (5 3 2 0 _ 5 0 5 1) 	58003	84486.570	12.276	1.42E-8	0.000E0	0	0.00E0	
C5N (30 29.5 30.5 _ 29 29.5 30.5) 	74501	84499.572	62.63	2.25E-8	0.000E0	0	0.00E0	
C5N (30 29.5 29.5 _ 29 29.5 29.5) 	74501	84502.405	62.63	2.23E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 3 2 1 2 _ 4 3 1 1 1) 	60524	84503.964	126.852	2.08E-8	0.000E0	0	0.00E0	
C5N (30 29.5 28.5 _ 29 29.5 28.5) 	74501	84505.143	62.63	2.22E-8	0.000E0	0	0.00E0	
CH3COCH3 (8 6 2 0 _ 7 7 1 0) 	58003	84513.050	30.445	4.52E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 5 2 0 1 _ 6 6 1 0 2) 	60523	84514.370	26.082	1.58E-7	0.000E0	0	0.00E0	
CH3COCH3 (15 15 0 0 _ 15 14 1 0) 	58003	84517.177	115.12	3.41E-6	0.000E0	0	0.00E0	
CH3COCH3 (15 15 1 0 _ 15 14 2 0) 	58003	84517.492	115.12	3.41E-6	0.000E0	0	0.00E0	
CH3OH, vt=0-2 (5 1 5 2 _ 4 0 4 1) 	32504	84521.172	40.392	1.97E-6	0.000E0	0	0.00E0	
NH2CHO (4 0 4 3 _ 3 0 3 3) 	45003	84541.420	10.157	3.28E-6	0.000E0	0	0.00E0	
NH2CHO (4 0 4 4 _ 3 0 3 3) 	45003	84542.400	10.157	3.83E-5	0.000E0	0	0.00E0	
NH2CHO (4 0 4 5 _ 3 0 3 4) 	45003	84542.400	10.157	4.09E-5	0.000E0	0	0.00E0	
NH2CHO (4 0 4 3 _ 3 0 3 2) 	45003	84542.400	10.157	3.75E-5	0.000E0	0	0.00E0	
NH2CHO (4 0 4 4 _ 3 0 3 4) 	45003	84543.124	10.157	2.55E-6	0.000E0	0	0.00E0	
C6H (30 -1 30.5 _ 29 1 29.5) 	73501	84549.688	63.663	1.06E-4	0.000E0	0	0.00E0	
CH3OCHO (9 8 2 1 _ 10 7 4 1) 	60003	84553.908	69.024	2.71E-8	0.000E0	0	0.00E0	
C2H5CN (18 4 14 _ 19 2 17) 	55001	84567.208	91.369	1.15E-8	0.000E0	0	0.00E0	
C6H (30 1 30.5 _ 29 -1 29.5) 	73501	84574.600	63.676	1.06E-4	0.000E0	0	0.00E0	
CH3CHO (12 3 10 1 _ 13 1 12 2) 	44003	84595.601	92.511	2.42E-9	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 2 3 2 _ 4 1 4 2) 	46524	84595.886	13.41	3.25E-6	0.000E0	0	0.00E0	
CH3OCHO (9 8 1 2 _ 10 7 3 2) 	60003	84597.485	69.045	2.71E-8	0.000E0	0	0.00E0	
CH3NH2 (2 1 5 _ 2 0 5) 	31008	84598.179	10.876	1.50E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 6 10 0 1 _ 15 9 7 0 2) 	60523	84614.243	110.624	2.07E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 7 10 0 1 _ 15 9 7 0 2) 	60523	84622.698	110.624	4.79E-9	0.000E0	0	0.00E0	
CH3OCHO (9 8 2 0 _ 10 7 3 0) 	60003	84625.277	69.029	2.71E-8	0.000E0	0	0.00E0	
CH3OCHO (9 8 1 0 _ 10 7 4 0) 	60003	84625.277	69.029	2.71E-8	0.000E0	0	0.00E0	
CH3OCH3 (3 2 1 3 _ 3 1 2 3) 	46008	84632.020	11.092	2.18E-6	0.000E0	0	0.00E0	
CH3OCH3 (3 2 1 2 _ 3 1 2 2) 	46008	84632.020	11.092	2.18E-6	0.000E0	0	0.00E0	
CH3OCH3 (3 2 1 1 _ 3 1 2 1) 	46008	84634.400	11.091	2.18E-6	0.000E0	0	0.00E0	
CH3OCH3 (3 2 1 0 _ 3 1 2 0) 	46008	84636.800	11.091	2.18E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 10 5 0 0 _ 15 8 7 0 0) 	60523	84654.373	110.64	1.54E-8	0.000E0	0	0.00E0	
CH3COCH3 (10 8 3 0 _ 10 5 5 1) 	58003	84668.083	47.468	1.69E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (3 3 1 0 2 _ 2 0 2 0 1) 	60523	84675.164	6.063	2.03E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (4 1 4 1 _ 3 2 2 0) 	46524	84696.992	70.805	2.85E-7	0.000E0	0	0.00E0	
C3H7CN (26 3 24 0 _ 27 0 27 0) 	69002	84757.767	83.782	1.48E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (8 5 3 1 0 _ 7 6 1 1 0) 	60524	84765.271	138.437	5.21E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 7 5 0 0 _ 10 9 2 0 0) 	60523	84789.546	59.45	2.54E-9	0.000E0	0	0.00E0	
NH2CHO (4 2 3 3 _ 3 2 2 3) 	45003	84807.739	22.1	2.49E-6	0.000E0	0	0.00E0	
NH2CHO (4 2 3 3 _ 3 2 2 2) 	45003	84807.739	22.1	2.84E-5	0.000E0	0	0.00E0	
NH2CHO (4 2 3 5 _ 3 2 2 4) 	45003	84807.940	22.1	3.09E-5	0.000E0	0	0.00E0	
NH2CHO (4 2 3 4 _ 3 2 2 4) 	45003	84808.085	22.1	1.93E-6	0.000E0	0	0.00E0	
NH2CHO (4 2 3 4 _ 3 2 2 3) 	45003	84808.085	22.1	2.90E-5	0.000E0	0	0.00E0	
C7H (48 -1 48.5 49 _ 47 1 47.5 48) 	85501	84819.703	100.721	1.24E-4	0.000E0	0	0.00E0	
C7H (48 -1 48.5 48 _ 47 1 47.5 47) 	85501	84819.726	100.721	1.24E-4	0.000E0	0	0.00E0	
C7H (48 1 48.5 49 _ 47 -1 47.5 48) 	85501	84821.534	100.725	1.24E-4	0.000E0	0	0.00E0	
C7H (48 1 48.5 48 _ 47 -1 47.5 47) 	85501	84821.557	100.725	1.24E-4	0.000E0	0	0.00E0	
CH3COOH, vt=0 (13 10 3 0 0 _ 13 8 5 0 0) 	60523	84833.998	87.051	7.74E-8	0.000E0	0	0.00E0	
C3H7CN (8 2 6 1 _ 7 0 7 1) 	69002	84838.483	143.896	2.08E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 6 10 0 0 _ 15 9 7 0 0) 	60523	84850.646	110.828	1.91E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 7 10 0 0 _ 15 9 7 0 0) 	60523	84855.223	110.828	4.03E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 2 8 0 1 _ 10 2 9 0 2) 	60523	84857.306	39.172	3.59E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 2 8 0 1 _ 10 1 9 0 2) 	60523	84857.314	39.172	1.65E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 3 8 0 1 _ 10 2 9 0 2) 	60523	84857.826	39.172	1.65E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 3 8 0 1 _ 10 1 9 0 2) 	60523	84857.833	39.172	3.59E-7	0.000E0	0	0.00E0	
CH3CHO (2 2 1 1 _ 3 1 3 1) 	44003	84865.227	11.807	1.56E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (12 1 11 0 _ 12 0 12 0) 	46524	84871.485	124.315	2.19E-7	0.000E0	0	0.00E0	
NH2CHO (4 3 2 4 _ 3 3 1 4) 	45003	84888.741	37.005	1.13E-6	0.000E0	0	0.00E0	
NH2CHO (4 3 2 3 _ 3 3 1 2) 	45003	84888.770	37.005	1.66E-5	0.000E0	0	0.00E0	
NH2CHO (4 3 2 5 _ 3 3 1 4) 	45003	84888.996	37.005	1.81E-5	0.000E0	0	0.00E0	
NH2CHO (4 3 2 4 _ 3 3 1 3) 	45003	84889.573	37.005	1.70E-5	0.000E0	0	0.00E0	
NH2CHO (4 3 2 3 _ 3 3 1 3) 	45003	84889.894	37.005	1.45E-6	0.000E0	0	0.00E0	
NH2CHO (4 3 1 4 _ 3 3 0 4) 	45003	84890.733	37.005	1.13E-6	0.000E0	0	0.00E0	
NH2CHO (4 3 1 3 _ 3 3 0 2) 	45003	84890.763	37.005	1.66E-5	0.000E0	0	0.00E0	
NH2CHO (4 3 1 5 _ 3 3 0 4) 	45003	84890.989	37.005	1.81E-5	0.000E0	0	0.00E0	
NH2CHO (4 3 1 4 _ 3 3 0 3) 	45003	84891.566	37.005	1.70E-5	0.000E0	0	0.00E0	
NH2CHO (4 3 1 3 _ 3 3 0 3) 	45003	84891.888	37.005	1.45E-6	0.000E0	0	0.00E0	
C3H7CN (4 4 0 1 _ 4 2 3 1) 	69002	84928.307	140.278	4.66E-9	0.000E0	0	0.00E0	
C2H3CHO (9 2 7 0 _ 10 0 10 0) 	56008	84939.786	27.502	7.73E-9	0.000E0	0	0.00E0	
C3H7CN (19 1 18 0 _ 18 1 17 0) 	69002	84940.689	41.831	4.48E-5	0.000E0	0	0.00E0	
C2H3CN (9 0 9 0 9 _ 8 0 8 0 9) 	53001	84944.630	20.429	6.00E-7	0.000E0	0	0.00E0	
C2H3CN (9 0 9 0 8 _ 8 0 8 0 7) 	53001	84945.988	20.429	4.79E-5	0.000E0	0	0.00E0	
C2H3CN (9 0 9 0 9 _ 8 0 8 0 8) 	53001	84945.997	20.429	4.80E-5	0.000E0	0	0.00E0	
C2H3CN (9 0 9 0 10 _ 8 0 8 0 9) 	53001	84946.009	20.429	4.86E-5	0.000E0	0	0.00E0	
C2H3CN (9 0 9 0 8 _ 8 0 8 0 9) 	53001	84946.142	20.429	2.08E-9	0.000E0	0	0.00E0	
C2H3CN (9 0 9 0 8 _ 8 0 8 0 8) 	53001	84947.509	20.429	6.70E-7	0.000E0	0	0.00E0	
CH3COCH3 (8 6 2 1 _ 7 7 1 1) 	58003	84955.826	30.616	4.62E-7	0.000E0	0	0.00E0	
C7H (49 -1 48.5 48 _ 48 1 47.5 47) 	85501	85012.857	138.522	1.25E-4	0.000E0	0	0.00E0	
C7H (49 -1 48.5 49 _ 48 1 47.5 48) 	85501	85012.878	138.522	1.25E-4	0.000E0	0	0.00E0	
C7H (49 1 48.5 48 _ 48 -1 47.5 47) 	85501	85013.099	138.523	1.25E-4	0.000E0	0	0.00E0	
C7H (49 1 48.5 49 _ 48 -1 47.5 48) 	85501	85013.121	138.523	1.25E-4	0.000E0	0	0.00E0	
C3H7CN (8 3 5 1 _ 7 2 6 1) 	69002	85014.926	145.419	5.28E-6	0.000E0	0	0.00E0	
C3H7CN (23 3 21 0 _ 24 1 24 0) 	69002	85039.954	67.856	1.66E-9	0.000E0	0	0.00E0	
C8H (72 1 72.5 73 _ 71 -1 71.5 72) 	97501	85059.531	149.922	1.50E-4	0.000E0	0	0.00E0	
C8H (72 1 72.5 72 _ 71 -1 71.5 71) 	97501	85059.531	149.922	1.50E-4	0.000E0	0	0.00E0	
C8H (72 -1 72.5 73 _ 71 1 71.5 72) 	97501	85062.314	149.925	1.50E-4	0.000E0	0	0.00E0	
C8H (72 -1 72.5 72 _ 71 1 71.5 71) 	97501	85062.314	149.925	1.50E-4	0.000E0	0	0.00E0	
CH3COOH, vt=0 (4 3 2 0 0 _ 3 1 2 0 0) 	60523	85074.177	9.504	2.22E-8	0.000E0	0	0.00E0	
C3H7CN (5 4 1 1 _ 5 2 4 1) 	69002	85079.425	141.715	1.20E-8	0.000E0	0	0.00E0	
NH2CHO (4 2 2 3 _ 3 2 1 2) 	45003	85093.238	22.12	2.87E-5	0.000E0	0	0.00E0	
NH2CHO (4 2 2 5 _ 3 2 1 4) 	45003	85093.302	22.12	3.13E-5	0.000E0	0	0.00E0	
NH2CHO (4 2 2 3 _ 3 2 1 3) 	45003	85093.317	22.12	2.51E-6	0.000E0	0	0.00E0	
NH2CHO (4 2 2 4 _ 3 2 1 4) 	45003	85093.470	22.12	1.95E-6	0.000E0	0	0.00E0	
NH2CHO (4 2 2 4 _ 3 2 1 3) 	45003	85093.528	22.12	2.93E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 11 5 0 0 _ 16 9 7 0 0) 	60523	85094.710	126.061	4.17E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 6 8 0 0 _ 13 9 4 0 0) 	60523	85095.305	88.721	2.50E-9	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 19 _ 18 2 17 0 19) 	53001	85095.883	90.448	2.18E-9	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 18 _ 18 2 17 0 17) 	53001	85097.218	90.448	7.84E-7	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 20 _ 18 2 17 0 19) 	53001	85097.220	90.448	7.86E-7	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 19 _ 18 2 17 0 18) 	53001	85097.249	90.448	7.84E-7	0.000E0	0	0.00E0	
C2H3CN (19 1 18 0 18 _ 18 2 17 0 18) 	53001	85098.620	90.448	2.30E-9	0.000E0	0	0.00E0	
C3H7CN (16 1 16 0 _ 15 0 15 0) 	69002	85122.129	29.493	2.03E-6	0.000E0	0	0.00E0	
C6H (31 1 30.5 _ 30 -1 29.5) 	73501	85130.946	86.467	1.08E-4	0.000E0	0	0.00E0	
C3H7CN (26 2 25 0 _ 26 1 26 0) 	69002	85133.246	78.513	1.39E-6	0.000E0	0	0.00E0	
C2H5CN (14 3 12 _ 15 1 15) 	55001	85136.452	55.177	7.69E-9	0.000E0	0	0.00E0	
OCS (7 _ 6) 	60001	85139.121	16.344	1.71E-6	0.000E0	0	0.00E0	
C3H7CN (4 3 2 0 _ 5 2 3 0) 	69002	85154.853	11.389	2.32E-7	0.000E0	0	0.00E0	
CH3COCH3 (10 5 6 1 _ 9 6 3 2) 	58003	85169.157	41.429	3.04E-7	0.000E0	0	0.00E0	
C3H7CN (4 3 1 0 _ 5 2 4 0) 	69002	85171.086	11.389	2.33E-7	0.000E0	0	0.00E0	
C6H (31 -1 30.5 _ 30 1 29.5) 	73501	85175.846	86.517	1.09E-4	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 1 8 0 1 _ 9 1 9 0 2) 	60523	85199.133	29.263	2.14E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 1 8 0 1 _ 9 0 9 0 2) 	60523	85199.133	29.263	9.59E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 2 8 0 1 _ 9 1 9 0 2) 	60523	85199.193	29.263	9.59E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (9 2 8 0 1 _ 9 0 9 0 2) 	60523	85199.193	29.263	2.14E-7	0.000E0	0	0.00E0	
HC5N, v=0 (32 _ 31) 	75503	85201.340	67.47	6.64E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 7 8 0 0 _ 13 9 4 0 0) 	60523	85221.323	88.727	4.70E-10	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 2 4 1 _ 5 1 5 1) 	46524	85230.398	78.91	3.09E-8	0.000E0	0	0.00E0	
C3H7CN (9 3 7 1 _ 8 2 6 1) 	69002	85240.163	147.987	5.55E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (10 4 6 1 _ 11 3 8 0) 	46524	85258.676	126.974	4.89E-7	0.000E0	0	0.00E0	
CH3COCH3 (10 5 6 1 _ 9 6 3 1) 	58003	85261.723	41.429	3.06E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (6 0 6 2 _ 5 1 5 2) 	46524	85265.488	17.484	3.89E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (7 3 4 1 0 _ 6 4 2 1 0) 	60524	85296.582	128.997	7.90E-7	0.000E0	0	0.00E0	
C2H3CN (9 2 8 0 9 _ 8 2 7 0 9) 	53001	85301.481	29.135	5.78E-7	0.000E0	0	0.00E0	
C2H3CN (9 2 8 0 9 _ 8 2 7 0 8) 	53001	85302.614	29.135	4.62E-5	0.000E0	0	0.00E0	
C2H3CN (9 2 8 0 8 _ 8 2 7 0 7) 	53001	85302.654	29.135	4.61E-5	0.000E0	0	0.00E0	
C2H3CN (9 2 8 0 10 _ 8 2 7 0 9) 	53001	85302.666	29.135	4.68E-5	0.000E0	0	0.00E0	
C2H3CN (9 2 8 0 8 _ 8 2 7 0 9) 	53001	85302.778	29.135	2.00E-9	0.000E0	0	0.00E0	
CH3COCH3 (10 5 6 0 _ 9 6 3 1) 	58003	85303.118	41.347	3.11E-7	0.000E0	0	0.00E0	
C2H3CN (9 2 8 0 8 _ 8 2 7 0 8) 	53001	85303.911	29.135	6.46E-7	0.000E0	0	0.00E0	
C3H7CN (22 0 22 0 _ 21 1 21 0) 	69002	85320.506	53.451	2.18E-6	0.000E0	0	0.00E0	
C3H7CN (6 4 3 1 _ 5 3 2 1) 	69002	85342.606	143.441	9.21E-6	0.000E0	0	0.00E0	
C3H7CN (6 4 2 1 _ 6 2 5 1) 	69002	85346.789	143.441	2.13E-8	0.000E0	0	0.00E0	
HCS+ (2 _ 1) 	45506	85347.890	6.144	1.11E-5	0.000E0	0	0.00E0	
CH3NH2 (5 1 6 _ 5 0 7) 	31008	85350.097	36.583	7.64E-7	0.000E0	0	0.00E0	
C6H- (31 _ 30) 	73502	85361.650	65.549	2.40E-4	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 13 3 0 0 _ 16 12 5 0 0) 	60523	85365.051	132.489	1.50E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (8 8 1 0 0 _ 8 6 3 0 0) 	60523	85373.706	38.033	1.54E-8	0.000E0	0	0.00E0	
C3H7CN (6 4 2 1 _ 5 3 3 1) 	69002	85379.039	143.441	9.22E-6	0.000E0	0	0.00E0	
CH3COCH3 (10 5 6 0 _ 9 6 3 0) 	58003	85389.775	41.264	3.18E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 10 6 0 0 _ 15 13 2 0 0) 	60523	85391.529	124.056	1.80E-9	0.000E0	0	0.00E0	
C2H3CN (9 4 6 0 9 _ 8 4 5 0 9) 	53001	85416.157	55.099	4.90E-7	0.000E0	0	0.00E0	
C2H3CN (9 4 5 0 9 _ 8 4 4 0 9) 	53001	85416.208	55.099	4.90E-7	0.000E0	0	0.00E0	
C2H3CN (9 4 6 0 9 _ 8 4 5 0 8) 	53001	85416.616	55.099	3.92E-5	0.000E0	0	0.00E0	
C2H3CN (9 4 5 0 9 _ 8 4 4 0 8) 	53001	85416.667	55.099	3.92E-5	0.000E0	0	0.00E0	
C2H3CN (9 4 6 0 10 _ 8 4 5 0 9) 	53001	85416.799	55.099	3.97E-5	0.000E0	0	0.00E0	
C2H3CN (9 4 6 0 8 _ 8 4 5 0 7) 	53001	85416.812	55.099	3.91E-5	0.000E0	0	0.00E0	
C2H3CN (9 4 6 0 8 _ 8 4 5 0 9) 	53001	85416.847	55.099	1.69E-9	0.000E0	0	0.00E0	
C2H3CN (9 4 5 0 10 _ 8 4 4 0 9) 	53001	85416.851	55.099	3.97E-5	0.000E0	0	0.00E0	
C2H3CN (9 4 5 0 8 _ 8 4 4 0 7) 	53001	85416.863	55.099	3.91E-5	0.000E0	0	0.00E0	
C2H3CN (9 4 5 0 8 _ 8 4 4 0 9) 	53001	85416.898	55.099	1.69E-9	0.000E0	0	0.00E0	
C2H3CN (9 4 6 0 8 _ 8 4 5 0 8) 	53001	85417.306	55.099	5.47E-7	0.000E0	0	0.00E0	
C2H3CN (9 4 5 0 8 _ 8 4 4 0 8) 	53001	85417.357	55.099	5.47E-7	0.000E0	0	0.00E0	
C2H3CN (9 5 5 0 9 _ 8 5 4 0 8) 	53001	85419.759	74.536	3.38E-5	0.000E0	0	0.00E0	
C2H3CN (9 5 4 0 9 _ 8 5 3 0 8) 	53001	85419.759	74.536	3.38E-5	0.000E0	0	0.00E0	
C2H3CN (9 5 5 0 9 _ 8 5 4 0 9) 	53001	85419.799	74.536	4.22E-7	0.000E0	0	0.00E0	
C2H3CN (9 5 4 0 9 _ 8 5 3 0 9) 	53001	85419.799	74.536	4.22E-7	0.000E0	0	0.00E0	
C2H3CN (9 5 5 0 8 _ 8 5 4 0 8) 	53001	85419.992	74.536	4.72E-7	0.000E0	0	0.00E0	
C2H3CN (9 5 4 0 8 _ 8 5 3 0 8) 	53001	85419.993	74.536	4.72E-7	0.000E0	0	0.00E0	
C2H3CN (9 5 5 0 8 _ 8 5 4 0 9) 	53001	85420.037	74.536	1.46E-9	0.000E0	0	0.00E0	
C2H3CN (9 5 4 0 8 _ 8 5 3 0 9) 	53001	85420.037	74.536	1.46E-9	0.000E0	0	0.00E0	
C2H3CN (9 5 5 0 10 _ 8 5 4 0 9) 	53001	85420.054	74.536	3.42E-5	0.000E0	0	0.00E0	
C2H3CN (9 5 4 0 10 _ 8 5 3 0 9) 	53001	85420.054	74.536	3.42E-5	0.000E0	0	0.00E0	
C2H3CN (9 5 5 0 8 _ 8 5 4 0 7) 	53001	85420.054	74.536	3.37E-5	0.000E0	0	0.00E0	
