Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
CH3OCH3 (5 0 5 1 _ 4 1 4 1) 	46008	70119.420	13.579	1.18E-6	0.000E0	0	0.00E0	
CH3OCH3 (5 0 5 3 _ 4 1 4 3) 	46008	70120.131	13.579	1.18E-6	0.000E0	0	0.00E0	
CH3OCH3 (5 0 5 2 _ 4 1 4 2) 	46008	70120.131	13.579	1.18E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 2 3 1 _ 5 1 4 1) 	46524	70125.875	78.968	2.79E-8	0.000E0	0	0.00E0	
SO2 (4 2 2 _ 5 1 5) 	64002	70134.373	19.029	6.28E-7	0.000E0	0	0.00E0	
C5N (25 25.5 25.5 _ 24 24.5 25.5) 	74501	70142.803	43.762	3.46E-8	0.000E0	0	0.00E0	
C5N (25 25.5 24.5 _ 24 24.5 23.5) 	74501	70145.808	43.762	2.25E-5	0.000E0	0	0.00E0	
C5N (25 25.5 25.5 _ 24 24.5 24.5) 	74501	70145.811	43.762	2.25E-5	0.000E0	0	0.00E0	
C5N (25 25.5 26.5 _ 24 24.5 25.5) 	74501	70145.811	43.762	2.26E-5	0.000E0	0	0.00E0	
C5N (25 25.5 24.5 _ 24 24.5 24.5) 	74501	70146.111	43.762	3.59E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 6 2 0 0 _ 7 3 4 0 0) 	60523	70147.830	27.598	4.69E-8	0.000E0	0	0.00E0	
C2H5CN (21 2 19 _ 21 1 20) 	55001	70149.280	105.326	2.28E-6	0.000E0	0	0.00E0	
C5N (25 24.5 24.5 _ 24 23.5 24.5) 	74501	70156.391	43.775	3.77E-8	0.000E0	0	0.00E0	
C5N (25 24.5 23.5 _ 24 23.5 22.5) 	74501	70156.552	43.775	2.25E-5	0.000E0	0	0.00E0	
C5N (25 24.5 24.5 _ 24 23.5 23.5) 	74501	70156.552	43.775	2.25E-5	0.000E0	0	0.00E0	
C5N (25 24.5 25.5 _ 24 23.5 24.5) 	74501	70156.555	43.775	2.26E-5	0.000E0	0	0.00E0	
C5N (25 24.5 23.5 _ 24 23.5 23.5) 	74501	70159.583	43.775	3.93E-8	0.000E0	0	0.00E0	
NH2CHO (4 1 3 4 _ 4 0 4 4) 	45003	70161.728	13.525	1.24E-6	0.000E0	0	0.00E0	
NH2CHO (4 1 3 5 _ 4 0 4 4) 	45003	70162.111	13.525	5.51E-8	0.000E0	0	0.00E0	
NH2CHO (4 1 3 3 _ 4 0 4 4) 	45003	70162.209	13.525	8.61E-8	0.000E0	0	0.00E0	
NH2CHO (4 1 3 4 _ 4 0 4 5) 	45003	70162.512	13.525	6.73E-8	0.000E0	0	0.00E0	
NH2CHO (4 1 3 4 _ 4 0 4 3) 	45003	70162.713	13.525	6.70E-8	0.000E0	0	0.00E0	
NH2CHO (4 1 3 5 _ 4 0 4 5) 	45003	70162.894	13.525	1.32E-6	0.000E0	0	0.00E0	
NH2CHO (4 1 3 3 _ 4 0 4 3) 	45003	70163.194	13.525	1.29E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (11 4 8 1 _ 12 3 10 0) 	46524	70168.216	136.124	3.08E-7	0.000E0	0	0.00E0	
C3H7CN (7 4 3 1 _ 8 1 8 1) 	69002	70174.415	145.456	1.14E-9	0.000E0	0	0.00E0	
CH3OCHO (17 5 12 2 _ 16 6 10 2) 	60003	70182.639	107.817	1.25E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 9 7 0 0 _ 15 7 8 0 0) 	60523	70187.501	106.756	3.56E-7	0.000E0	0	0.00E0	
C3H7CN (19 0 19 0 _ 18 1 18 0) 	69002	70194.788	40.182	1.14E-6	0.000E0	0	0.00E0	
CH3NH2 (2 1 7 _ 2 0 7) 	31008	70199.114	10.334	1.95E-6	0.000E0	0	0.00E0	
CH3C3N (17 3 _ 16 3) 	65503	70227.179	97.718	4.28E-5	0.000E0	0	0.00E0	
CH3C3N (17 2 _ 16 2) 	65503	70230.554	60.287	4.36E-5	0.000E0	0	0.00E0	
CH3C3N (17 1 _ 16 1) 	65503	70232.572	37.824	4.40E-5	0.000E0	0	0.00E0	
CH3C3N (17 0 _ 16 0) 	65503	70233.263	30.336	4.42E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 11 7 0 2 _ 17 10 8 0 1) 	60523	70234.067	138.841	2.49E-6	0.000E0	0	0.00E0	
CH3COCH3 (7 5 3 1 _ 6 6 0 1) 	58003	70234.509	23.231	2.95E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 9 7 0 2 _ 15 8 8 0 1) 	60523	70234.737	106.563	2.30E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 10 7 0 0 _ 16 8 8 0 0) 	60523	70238.682	122.353	3.40E-7	0.000E0	0	0.00E0	
CH3CHO (14 1 14 1 _ 13 2 12 1) 	44003	70239.075	96.393	3.75E-10	0.000E0	0	0.00E0	
C3H7CN (12 1 12 0 _ 11 0 11 0) 	69002	70240.426	17.359	1.09E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (12 2 10 2 _ 12 1 11 2) 	46524	70262.079	71.75	3.45E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 11 6 0 0 _ 16 9 7 0 0) 	60523	70265.427	125.349	1.97E-7	0.000E0	0	0.00E0	
C2H5CN (2 2 1 _ 2 1 2) 	55001	70278.569	5.74	1.02E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 3 4 1 0 _ 5 3 2 1 0) 	60524	70293.713	122.143	1.11E-7	0.000E0	0	0.00E0	
CH3OCH3 (3 3 1 2 _ 4 2 2 2) 	46008	70304.038	18.118	4.95E-8	0.000E0	0	0.00E0	
CH3OCH3 (3 3 1 1 _ 4 2 2 1) 	46008	70312.719	18.118	5.19E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 12 2 0 0 _ 14 11 3 0 0) 	60523	70312.739	104.486	1.58E-6	0.000E0	0	0.00E0	
CH3OCH3 (3 3 1 3 _ 4 2 2 3) 	46008	70313.958	18.118	9.88E-8	0.000E0	0	0.00E0	
CH3NH2 (1 1 7 _ 1 0 7) 	31008	70320.133	6.084	1.72E-6	0.000E0	0	0.00E0	
CH3OCH3 (3 3 1 0 _ 4 2 2 0) 	46008	70321.083	18.118	9.89E-8	0.000E0	0	0.00E0	
CH3OCH3 (3 3 0 1 _ 4 2 2 1) 	46008	70322.860	18.118	4.70E-8	0.000E0	0	0.00E0	
CH3OCH3 (3 3 0 2 _ 4 2 2 2) 	46008	70324.287	18.118	4.94E-8	0.000E0	0	0.00E0	
C2H5OH,v=0 (10 3 8 2 _ 11 0 11 2) 	46524	70336.265	57.554	2.08E-8	0.000E0	0	0.00E0	
CH3COCH3 (6 4 2 0 _ 5 5 1 0) 	58003	70354.767	17.34	5.66E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 12 4 0 1 _ 15 11 5 0 2) 	60523	70371.655	116.006	1.92E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (12 2 11 0 _ 11 3 8 0) 	46524	70372.031	126.259	6.74E-9	0.000E0	0	0.00E0	
CH3COCH3 (7 4 4 1 _ 6 5 2 2) 	58003	70385.945	21.688	9.08E-8	0.000E0	0	0.00E0	
CH3COCH3 (17 14 4 0 _ 17 13 4 1) 	58003	70400.326	134.207	1.06E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (4 3 1 1 1 _ 3 3 0 1 2) 	60524	70403.246	122.796	9.07E-8	0.000E0	0	0.00E0	
CH3COCH3 (15 8 8 1 _ 15 7 9 2) 	58003	70404.622	93.012	8.10E-6	0.000E0	0	0.00E0	
CH3COCH3 (15 8 8 1 _ 15 7 9 1) 	58003	70406.033	93.012	8.10E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 1 4 1 0 _ 4 1 3 1 0) 	60524	70407.296	116.128	7.50E-7	0.000E0	0	0.00E0	
C3H7CN (17 4 14 0 _ 18 3 15 0) 	69002	70415.563	48.945	3.25E-7	0.000E0	0	0.00E0	
C5N (25 24.5 25.5 _ 24 24.5 25.5) 	74501	70417.094	43.775	1.87E-8	0.000E0	0	0.00E0	
C5N (25 24.5 24.5 _ 24 24.5 24.5) 	74501	70419.938	43.775	1.86E-8	0.000E0	0	0.00E0	
C5N (25 24.5 23.5 _ 24 24.5 23.5) 	74501	70422.666	43.775	1.85E-8	0.000E0	0	0.00E0	
C3H7CN (16 0 16 0 _ 15 0 15 0) 	69002	70424.179	28.788	2.55E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 13 2 1 _ 14 12 3 2) 	58003	70445.479	96.742	4.17E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 11 4 0 1 _ 13 13 1 0 2) 	60523	70448.009	100.772	2.17E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 9 3 0 0 _ 11 7 4 0 0) 	60523	70453.060	64.01	2.34E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 4 3 0 0 _ 7 3 5 0 0) 	60523	70453.694	25.574	2.62E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 3 4 0 0 _ 5 3 2 0 0) 	60523	70463.812	17.421	1.21E-9	0.000E0	0	0.00E0	
CH3OCHO (5 3 3 1 _ 5 2 4 1) 	60003	70478.437	14.84	3.54E-7	0.000E0	0	0.00E0	
C3H7CN (36 2 34 0 _ 35 3 33 0) 	69002	70478.977	146.415	4.15E-7	0.000E0	0	0.00E0	
C3H7CN (17 4 13 0 _ 18 3 16 0) 	69002	70478.984	48.945	3.26E-7	0.000E0	0	0.00E0	
CH3COCH3 (15 8 8 0 _ 15 7 9 1) 	58003	70480.658	92.959	8.13E-6	0.000E0	0	0.00E0	
C3H7CN (14 2 13 0 _ 14 1 14 0) 	69002	70489.327	26.391	9.14E-7	0.000E0	0	0.00E0	
C2H3CHO (18 1 17 0 _ 18 1 18 0) 	56008	70503.231	76.629	1.16E-7	0.000E0	0	0.00E0	
CH3SH,v=0-2 (6 2 4 1 _ 7 1 6 1) 	48510	70507.518	43.622	1.78E-7	0.000E0	0	0.00E0	
C3H7CN (6 3 4 1 _ 5 2 3 1) 	69002	70513.664	141.071	3.99E-6	0.000E0	0	0.00E0	
CH3COCH3 (18 14 5 0 _ 18 13 6 0) 	58003	70515.685	147.033	8.02E-6	0.000E0	0	0.00E0	
CH3OCHO (17 5 12 0 _ 16 6 11 0) 	60003	70535.887	107.809	1.03E-7	0.000E0	0	0.00E0	
C2H5CN (17 1 16 _ 17 1 17) 	55001	70542.518	68.166	2.26E-7	0.000E0	0	0.00E0	
CH3OCHO (5 3 3 0 _ 5 2 4 0) 	60003	70544.492	14.825	4.10E-7	0.000E0	0	0.00E0	
C2H5CN (19 3 17 _ 20 1 20) 	55001	70548.936	91.77	5.03E-9	0.000E0	0	0.00E0	
CH3NH2 (7 -1 3 _ 6 2 2) 	31008	70550.223	64.268	5.02E-7	0.000E0	0	0.00E0	
CH3COCH3 (15 8 8 0 _ 15 7 9 0) 	58003	70555.967	92.907	8.17E-6	0.000E0	0	0.00E0	
